Date,Price,Change
2022-01-03,"1,805.9",0
2022-01-04,"1,811.4",0.307334496
2022-01-05,"1,826.3",0.819807883
2022-01-06,"1,789.4",-2.020533881
2022-01-07,"1,792.6",0.181630201
2022-01-10,"1,794.2",0.08925583
2022-01-11,"1,806.8",0.702262847
2022-01-12,"1,821.4",0.808058446
2022-01-13,"1,820.4",-0.057647963
2022-01-14,"1,823.0",0.142829676
2022-01-17,"1,817.9",-0.279766313
2022-01-18,"1,817.3",-0.033006024
2022-01-19,"1,827.0",0.533773559
2022-01-20,"1,845.4",1.007143053
2022-01-21,"1,837.6",-0.419974531
2022-01-24,"1,831.6",-0.326512843
2022-01-25,"1,847.3",0.857174055
2022-01-26,"1,836.0",-0.61441022
2022-01-27,"1,806.8",-1.590457256
2022-01-28,"1,788.2",-1.02947281
2022-01-31,"1,795.3",0.397058412
2022-02-01,"1,799.9",0.256231723
2022-02-02,"1,803.7",0.211128705
2022-02-03,"1,792.7",-0.607102265
2022-02-04,"1,804.7",0.66938138
2022-02-07,"1,813.6",0.490386214
2022-02-08,"1,822.6",0.499021257
2022-02-09,"1,827.8",0.285306705
2022-02-10,"1,835.4",0.413064887
2022-02-11,"1,831.2",-0.228839186
2022-02-14,"1,866.2",1.911367174
2022-02-15,"1,848.6",-0.943118184
2022-02-16,"1,862.6",0.760055178
2022-02-17,"1,893.5",1.656286911
2022-02-18,"1,893.6",0.007922047
2022-02-21,"1,894.5",0.044888044
2022-02-22,"1,900.1",0.298239595
2022-02-23,"1,904.7",0.242092521
2022-02-24,"1,936.3",1.659053919
2022-02-25,"1,884.8",-2.659711822
2022-02-28,"1,909.9",1.32905348
2022-03-01,"1,922.0",0.636175616
2022-03-02,"1,928.5",0.338189386
2022-03-03,"1,929.6",0.05703915
2022-03-04,"1,945.3",0.813640133
2022-03-07,"1,981.0",1.832622218
2022-03-08,"2,039.1",2.932936217
2022-03-09,"1,988.9",-2.459478679
2022-03-10,"1,996.6",0.387148675
2022-03-11,"1,978.7",-0.896524091
2022-03-14,"1,954.1",-1.245767423
2022-03-15,"1,913.7",-2.067500832
2022-03-16,"1,913.2",-0.023515272
2022-03-17,"1,949.7",1.90518503
2022-03-18,"1,935.8",-0.710383915
2022-03-21,"1,935.1",-0.038743672
2022-03-22,"1,915.3",-1.023229374
2022-03-23,"1,931.8",0.861506331
2022-03-24,"1,965.2",1.731590527
2022-03-25,"1,953.8",-0.580093629
2022-03-28,"1,937.1",-0.857303716
2022-03-29,"1,910.0",-1.39645337
2022-03-30,"1,933.9",1.248691099
