date,price
199202,0.55
199203,0.55
199204,0.55
199205,0.55
199206,0.56
199207,0.56
199208,0.58
199209,0.58
199210,0.58
199211,0.58
199212,0.58
199301,0.58
199302,0.58
199303,0.58
199304,0.58
199305,0.58
199306,0.58
199307,0.6
199308,0.6
199309,0.6
199310,0.6
199311,0.6
199312,0.6
199401,0.6
199402,0.6
199403,0.6
199404,0.6
199405,0.6
199406,0.6
199407,0.6
199408,0.6
199409,0.6
199410,0.6
199411,0.55
199412,0.55
199501,0.55
199502,0.55
199503,0.55
199504,0.55
199505,0.55
199506,0.55
199507,0.55
199508,0.55
199509,0.55
199510,0.55
199511,0.55
199512,0.55
199601,0.55
199602,0.55
199603,0.55
199604,0.55
199605,0.55
199606,0.55
199607,0.55
199608,0.55
199609,0.55
199610,0.55
199611,0.55
199612,0.55
199701,0.55
199702,0.55
199703,0.55
199704,0.55
199705,0.55
199706,0.55
199707,0.55
199708,0.55
199709,0.55
199710,0.55
199711,0.55
199712,0.55
199801,0.55
199802,0.55
199803,0.55
199804,0.55
199805,0.55
199806,0.55
199807,0.55
199808,0.55
199809,0.55
199810,0.55
199811,0.55
199812,0.55
199901,0.55
199902,0.55
199903,0.55
199904,0.55
199905,0.55
199906,0.55
199907,0.55
199908,0.55
199909,0.55
199910,0.55
199911,0.49
199912,0.49
200001,0.49
200002,0.49
200003,0.49
200004,0.49
200005,0.49
200006,0.49
200007,0.49
200008,0.49
200009,0.49
200010,0.49
200011,0.49
200101,0.49
200102,0.52
200103,0.52
200104,0.54
200105,0.54
200106,0.54
200107,0.54
200108,0.54
200109,0.54
200110,0.54
200111,0.54
200112,0.54
200201,0.55
200202,0.55
200203,0.57
200205,0.54
200206,0.54
200207,0.54
200208,0.54
200209,0.56
200210,0.56
200211,0.56
200212,0.56
200301,0.56
200302,0.56
200303,0.56
200304,0.56
200305,0.56
200306,0.56
200307,0.58
200308,0.58
200309,0.58
200310,0.58
200311,0.58
200401,0.58
200402,0.58
200403,0.58
200404,0.58
200405,0.58
200406,0.58
200407,0.58
200408,0.58
200409,0.58
200410,0.58
200411,0.58
200412,0.58
200501,0.58
200502,0.58
200503,0.62
200504,0.62
200505,0.58
200505,0.58
200506,0.62
200507,0.62
200508,0.62
200509,0.62
200510,0.62
200511,0.58
200512,0.62
200601,0.62
200602,0.63
200603,0.63
200604,0.53
200605,0.53
200606,0.53
200607,0.64
200608,0.64
200609,0.64
200610,0.64
200611,0.64
200612,0.64
200701,0.64
200702,0.64
200703,0.64
200704,0.66
200705,0.66
200706,0.66
200707,0.66
200708,0.66
200709,0.76
200710,0.76
200711,0.76
200712,0.76
200801,0.76
200802,0.76
200803,0.76
200804,0.76
200805,0.76
200806,0.8
200807,0.8
200808,0.8
200809,0.8
200810,0.86
200811,0.86
200812,0.86
200901,0.86
200902,0.86
200903,0.86
200904,0.86
200905,0.86
200906,0.86
200907,0.86
200908,0.86
200909,0.86
200910,0.86
200911,0.86
200912,0.86
201001,0.86
201002,0.86
201003,0.86
201004,0.86
201005,0.86
201006,0.86
201007,0.86
201008,0.86
201009,0.86
201010,0.86
201011,0.86
201012,0.86
201101,0.86
201102,0.86
201103,0.86
201104,0.86
201105,0.89
201106,0.89
201107,0.89
201108,0.89
201109,0.89
201110,0.89
201111,0.89
201112,0.89
201201,0.89
201202,0.89
201203,0.89
201204,0.89
201205,0.89
201206,0.89
201207,0.89
201208,0.89
201209,0.89
201210,0.89
201211,0.89
201212,0.89
201301,0.89
201302,0.89
201303,0.89
201304,0.89
201305,0.89
201306,0.89
201307,0.89
201308,0.89
201309,0.89
201310,0.89
201311,0.89
201312,0.89
201401,0.89
201402,0.89
201403,0.89
201404,0.89
201405,0.89
201406,0.89
201407,0.89
201408,0.89
201409,0.89
201410,0.89
201411,0.89
201412,0.89
201501,0.89
201502,0.89
201503,0.89
201504,0.89
201505,0.89
201506,0.79
201507,0.79
201508,0.79
201509,0.75
201510,0.75
201511,0.75
201512,0.75
201601,0.75
201602,0.75
201603,0.75
201604,0.75
201605,0.75
201606,0.75
201607,0.75
201608,0.75
201609,0.75
201610,0.75
201611,0.75
201612,0.75
201701,0.75
201702,0.75
201703,0.75
201704,0.75
201705,0.75
201706,0.75
201707,0.75
201708,0.75
201709,0.75
201710,0.75
201711,0.85
201712,0.8
201801,0.8
201802,0.8
201803,0.8
201805,0.79
201806,0.79
201807,0.8
201808,0.8
201809,0.8
201810,0.8
201811,0.86
201812,0.86
201901,0.86
201902,0.86
201903,0.79
201904,0.79
201905,0.79
201906,0.79
201907,0.79
201908,0.79
201909,0.8
201910,0.8
201911,0.8
201912,0.8
202001,0.8
202002,0.8
202003,0.8
202004,0.8
202005,0.8
202006,0.8
202007,0.8
202008,0.8
202009,0.8
202010,0.8
202011,0.8
202012,0.8
202101,0.82
202102,0.8
202103,0.8
202104,0.8
202105,0.8
202106,0.8
202107,0.8
202108,0.8
202109,0.89
