Country,Year,Value
Australia,2010,575934.001
Australia,2011,627560.439
Australia,2012,622810.131
Australia,2013,704367.145
Australia,2017,1206523.651
Australia,2018,1262318.527
Australia,2019,1344177.931
Australia,2020,1295416.447
Australia,2010,64482.796
Australia,2011,68556.604
Australia,2012,78646.146
Australia,2013,76462.656
Australia,2017,4577
Australia,2018,5371
Australia,2019,5736
Australia,2020,5536
Australia,2010,1157853.535
Australia,2011,1301255.562
Australia,2012,1357526.864
Australia,2013,1554534.399
Australia,2014,1735475.172
Australia,2015,1919964.529
Australia,2016,2009603.834
Australia,2017,2336236.717
Australia,2018,2461628.68
Australia,2019,2640156.593
Australia,2020,2614454.536
Australia,2010,29787.619
Australia,2011,44553.133
Australia,2012,45631.173
Australia,2013,49793.981
Australia,2017,58849.659
Australia,2018,68802.029
Australia,2019,73955.654
Australia,2020,77659.806
Australia,2010,58918.721
Australia,2011,67637.21
Australia,2012,71848.73
Australia,2013,77868.965
Australia,2017,111309.26
Australia,2018,117172.39
Australia,2019,122093.405
Australia,2020,133658.724
Australia,2017,136425.201
Australia,2018,151790.555
Australia,2019,181866.252
Australia,2020,167278.667
Australia,2010,133411.763
Australia,2011,163497.885
Australia,2012,203529.182
Australia,2013,228889.112
Australia,2017,258584.385
Australia,2018,236996.762
Australia,2019,249269.907
Australia,2020,297200.722
Australia,2017,103544.831
Australia,2018,90470.09
Australia,2019,87104.5
Australia,2020,94840.793
Australia,2017,196380.307
Australia,2018,219042.253
Australia,2019,226013.343
Australia,2020,216610.928
Australia,2017,425020.502
Australia,2018,468215.86
Australia,2019,491851.418
Australia,2020,454575.001
Australia,2017,289725.227
Australia,2018,269940.058
Australia,2019,293665.236
Australia,2020,289085.985
Australia,2010,490868.549
Australia,2011,673937.155
Australia,2012,634705.805
Australia,2013,652877.907
Australia,2017,928057.992
Australia,2018,932979.623
Australia,2019,929633.457
Australia,2020,889044.308
Australia,2010,54958.687
Australia,2011,73622.937
Australia,2012,80148.287
Australia,2013,70873.236
Australia,2017,3520.628
Australia,2018,3969.706
Australia,2019,3967.018
Australia,2020,3799.357
Australia,2010,986838.568
Australia,2011,1397418.348
Australia,2012,1383455.627
Australia,2013,1440897.935
Australia,2014,1634817.606
Australia,2015,1474532.758
Australia,2016,1492331.807
Australia,2017,1797033.283
Australia,2018,1819389.757
Australia,2019,1825932.3
Australia,2020,1794300.148
Australia,2010,25387.988
Australia,2011,47845.61
Australia,2012,46502.728
Australia,2013,46154.041
Australia,2017,45267.158
Australia,2018,50851.58
Australia,2019,51147.73
Australia,2020,53297.925
Australia,2010,50216.426
Australia,2011,72635.6
Australia,2012,73221.041
Australia,2013,72176.744
Australia,2017,85619.083
Australia,2018,86602.113
Australia,2019,84439.799
Australia,2020,91729.982
Australia,2017,104938.265
Australia,2018,112188.399
Australia,2019,125778.7
Australia,2020,114803.349
Australia,2010,113706.846
Australia,2011,175580.379
Australia,2012,207416.589
Australia,2013,212157.318
Australia,2017,198903.109
Australia,2018,175164.307
Australia,2019,172395.068
Australia,2020,203968.855
Australia,2017,79646.684
Australia,2018,66866.443
Australia,2019,60241.472
Australia,2020,65089.236
Australia,2017,151055.732
Australia,2018,161894.129
Australia,2019,156310.828
Australia,2020,148660.08
Australia,2017,326925.77
Australia,2018,346058.342
Australia,2019,340164.441
Australia,2020,311974.823
Australia,2017,222856.644
Australia,2018,199512.697
Australia,2019,203098.877
Australia,2020,198399.711
Austria,2010,13840.383
Austria,2011,13625.541
Austria,2019,23131.016
Austria,2020,23599.02
Austria,2010,58.218
Austria,2011,29.765
Austria,2012,3276.791
Austria,2013,3051.203
Austria,2015,3269.075
Austria,2016,3407.197
Austria,2017,3200.216
Austria,2018,3275.779
Austria,2019,41.141
Austria,2020,61.238
Austria,2010,140.372
Austria,2011,140.729
Austria,2012,174.881
Austria,2013,172.094
Austria,2014,159.526
Austria,2015,139.314
Austria,2016,138.648
Austria,2017,135.117
Austria,2018,226.267
Austria,2019,63.234
Austria,2020,44.46
Austria,2010,15216.916
Austria,2011,14764.069
Austria,2012,16305.635
Austria,2013,18253.07
Austria,2014,19171.116
Austria,2015,20568.812
Austria,2016,20852.352
Austria,2017,22322.776
Austria,2018,21426.291
Austria,2019,24295.643
Austria,2020,24964.958
Austria,2010,309.67
Austria,2011,-0.06
Austria,2012,604.828
Austria,2014,1427.168
Austria,2015,911.753
Austria,2016,0
Austria,2017,0
Austria,2018,0
Austria,2019,0
Austria,2020,0
Austria,2010,49.973
Austria,2011,49.054
Austria,2012,566.642
Austria,2013,581.855
Austria,2014,575.011
Austria,2015,690.634
Austria,2016,753.01
Austria,2017,827.417
Austria,2018,978.687
Austria,2019,51.5
Austria,2020,54.32
Austria,2010,3.12
Austria,2011,3.41
Austria,2010,323.057
Austria,2011,219.739
Austria,2012,5242.116
Austria,2013,4602
Austria,2015,6284.529
Austria,2016,6126.758
Austria,2017,6701.702
Austria,2018,6458.418
Austria,2019,63.345
Austria,2020,52.073
Austria,2010,381.276
Austria,2011,249.504
Austria,2012,8518.907
Austria,2013,7653.203
Austria,2014,9159.907
Austria,2015,9553.604
Austria,2016,9533.955
Austria,2017,9901.918
Austria,2018,9734.197
Austria,2019,104.486
Austria,2020,113.311
Austria,2010,418.497
Austria,2011,659.48
Austria,2012,1505.996
Austria,2013,2031.932
Austria,2014,1600.269
Austria,2015,1851.579
Austria,2016,1864.813
Austria,2017,1573.716
Austria,2018,1649.66
Austria,2019,485.212
Austria,2020,504.983
Austria,2010,3.12
Austria,2011,3.41
Austria,2019,410.738
Austria,2020,607.323
Austria,2010,846.599
Austria,2011,1066.555
Austria,2019,5.854
Austria,2020,0.669
Austria,2010,7063.92
Austria,2011,7425.848
Austria,2019,8502.246
Austria,2020,7779.915
Austria,2010,4761.309
Austria,2011,3815.379
Austria,2019,5971.998
Austria,2020,7268.795
Austria,2010,732.704
Austria,2011,703.167
Austria,2019,7422.718
Austria,2020,7002.008
Austria,2010,18493.519
Austria,2011,17630.088
Austria,2019,25985.383
Austria,2020,28958.357
Austria,2010,77.791
Austria,2011,38.513
Austria,2012,4323.398
Austria,2013,4207.914
Austria,2015,3559.042
Austria,2016,3591.527
Austria,2017,3838.019
Austria,2018,3750.767
Austria,2019,46.218
Austria,2020,75.145
Austria,2010,187.565
Austria,2011,182.09
Austria,2012,230.738
Austria,2013,237.335
Austria,2014,193.68
Austria,2015,151.671
Austria,2016,146.149
Austria,2017,162.045
Austria,2018,259.075
Austria,2019,71.037
