Year,Cost
1984,7.642
1985,8.11912819
1986,9.06171641
1987,9.96442064
1988,11.080002
1989,11.43858
1990,12.1229162
1991,13.0188279
1992,14.6608334
1993,15.5553094
1994,15.7589379
1995,17.0908636
1996,18.5165358
1997,19.7972255
1998,21.3923724
1999,22.5277679
2000,24.7679879
2001,27.1627829
2002,27.5633272
2003,29.6140097
2004,32.0950737
2005,31.3757975
2006,32.1445084
2007,34.1808605
2008,32.4448922
2009,31.3595569
2010,33.7559022
2011,31.2025832
2012,30.8428633
2013,31.2499657
2014,31.4236595
2015,34.7399563
2016,37.6073225
2017,39.7306455
2018,42.8029742
2019,43.3515671
