Location,Time,Value
FRA,2020,2669280.2573897
FRA,2021,2823768.09620666
FRA,2022,2935513.43703451
FRA,2023,2992562.0
FRA,2024,3034071.0
FRA,2025,3071890.0
FRA,2026,3109641.0
FRA,2027,3148105.0
FRA,2028,3187267.0
FRA,2029,3226815.0
FRA,2030,3266564.0
FRA,2031,3306480.0
FRA,2032,3346445.0
FRA,2033,3386504.0
FRA,2034,3426783.0
FRA,2035,3467468.0
FRA,2036,3508727.0
FRA,2037,3550510.0
FRA,2038,3592766.0
FRA,2039,3635469.0
FRA,2040,3678671.0
FRA,2041,3722469.0
FRA,2042,3766844.0
FRA,2043,3811787.0
FRA,2044,3857318.0
FRA,2045,3903525.0
FRA,2046,3950559.0
FRA,2047,3998416.0
FRA,2048,4047162.0
FRA,2049,4096935.0
FRA,2050,4147962.0
FRA,2051,4200476.0
FRA,2052,4254467.0
FRA,2053,4309873.0
FRA,2054,4366650.0
FRA,2055,4424836.0
FRA,2056,4484515.0
FRA,2057,4545554.0
FRA,2058,4607810.0
FRA,2059,4671200.0
FRA,2060,4735778.0
DEU,2020,3947166.73612686
DEU,2021,4077562.93265552
DEU,2022,4257314.08509196
DEU,2023,4338827.0
DEU,2024,4385355.0
DEU,2025,4419373.0
DEU,2026,4449217.0
DEU,2027,4478150.0
DEU,2028,4507380.0
DEU,2029,4536670.0
DEU,2030,4565995.0
DEU,2031,4595534.0
DEU,2032,4625521.0
DEU,2033,4656349.0
DEU,2034,4688367.0
DEU,2035,4721863.0
DEU,2036,4757042.0
DEU,2037,4793973.0
DEU,2038,4832613.0
DEU,2039,4872740.0
DEU,2040,4914029.0
DEU,2041,4956185.0
DEU,2042,4999058.0
DEU,2043,5042536.0
DEU,2044,5086551.0
DEU,2045,5131040.0
DEU,2046,5175978.0
DEU,2047,5221425.0
DEU,2048,5267470.0
DEU,2049,5314173.0
DEU,2050,5361523.0
DEU,2051,5409485.0
DEU,2052,5458138.0
DEU,2053,5507556.0
DEU,2054,5557900.0
DEU,2055,5609415.0
DEU,2056,5662351.0
DEU,2057,5716947.0
DEU,2058,5773277.0
DEU,2059,5831274.0
DEU,2060,5890765.0
JPN,2020,5104892.0427927
JPN,2021,5239313.28747556
JPN,2022,5345936.84053381
JPN,2023,5405077.0
JPN,2024,5445553.0
JPN,2025,5477318.0
JPN,2026,5506395.0
JPN,2027,5536111.0
JPN,2028,5567248.0
JPN,2029,5599273.0
JPN,2030,5631733.0
JPN,2031,5664277.0
JPN,2032,5696523.0
JPN,2033,5727996.0
JPN,2034,5758291.0
JPN,2035,5787177.0
JPN,2036,5814600.0
JPN,2037,5840327.0
JPN,2038,5864345.0
JPN,2039,5886727.0
JPN,2040,5907647.0
JPN,2041,5927313.0
