Entity,Code,Year,Productivity: output per hour worked
Argentina,ARG,1950,3.7276742
Argentina,ARG,1951,3.7526677
Argentina,ARG,1952,3.3652332
Argentina,ARG,1953,3.522695
Argentina,ARG,1954,3.6234164
Argentina,ARG,1955,3.820403
Argentina,ARG,1956,3.8615587
Argentina,ARG,1957,4.0018334
Argentina,ARG,1958,4.240541
Argentina,ARG,1959,3.93428
Argentina,ARG,1960,4.165085
Argentina,ARG,1961,4.2599936
Argentina,ARG,1962,4.298306
Argentina,ARG,1963,4.1109223
Argentina,ARG,1964,4.2761
Argentina,ARG,1965,4.7605305
Argentina,ARG,1966,4.821608
Argentina,ARG,1967,4.940946
Argentina,ARG,1968,5.0403686
Argentina,ARG,1969,5.4847455
Argentina,ARG,1970,5.5949955
Argentina,ARG,1971,5.7174125
Argentina,ARG,1972,5.7707987
Argentina,ARG,1973,6.049992
Argentina,ARG,1974,6.12354
Argentina,ARG,1975,6.015602
Argentina,ARG,1976,6.0292716
Argentina,ARG,1977,6.2771564
Argentina,ARG,1978,6.141138
Argentina,ARG,1979,6.4327383
Argentina,ARG,1980,6.4590163
Argentina,ARG,1981,6.54121
Argentina,ARG,1982,6.8030505
Argentina,ARG,1983,7.2011805
Argentina,ARG,1984,7.5501113
Argentina,ARG,1985,7.3695316
Argentina,ARG,1986,8.01871
Argentina,ARG,1987,8.416937
Argentina,ARG,1988,8.84262
Argentina,ARG,1989,8.496987
Argentina,ARG,1990,9.34559
Argentina,ARG,1991,10.72936
Argentina,ARG,1992,12.5184765
Argentina,ARG,1993,14.229115
Argentina,ARG,1994,16.264364
Argentina,ARG,1995,19.057482
Argentina,ARG,1996,23.936634
Argentina,ARG,1997,23.406992
Argentina,ARG,1998,22.246105
Argentina,ARG,1999,20.943682
Argentina,ARG,2000,20.869158
Argentina,ARG,2001,20.300793
Argentina,ARG,2002,18.544622
Argentina,ARG,2003,19.140049
Argentina,ARG,2004,19.305756
Argentina,ARG,2005,19.672619
Argentina,ARG,2006,20.713331
Argentina,ARG,2007,21.948978
Argentina,ARG,2008,23.103422
