Date,CO2
01/03/1958,315.71
01/04/1958,317.45
01/05/1958,317.5
01/06/1958,317
01/07/1958,315.86
01/08/1958,314.93
01/09/1958,313.2
01/10/1958,313
01/11/1958,313.33
01/12/1958,314.67
01/01/1959,315.62
01/02/1959,316.38
01/03/1959,316.71
01/04/1959,317.72
01/05/1959,318.29
01/06/1959,318.15
01/08/1959,314.8
01/07/1959,316.54
01/09/1959,313.84
01/10/1959,313.26
01/11/1959,314.8
01/12/1959,315.58
01/01/1960,316.43
01/02/1960,316.97
01/03/1960,317.58
01/04/1960,319.02
01/05/1960,320.03
01/06/1960,319.59
01/07/1960,318.18
01/08/1960,315.91
01/09/1960,314.16
01/10/1960,313.83
01/11/1960,315
01/12/1960,316.19
01/01/1961,316.93
01/02/1961,317.7
01/03/1961,318.54
01/04/1961,319.48
01/05/1961,320.58
01/06/1961,319.77
01/07/1961,318.57
01/08/1961,316.79
01/09/1961,314.8
01/10/1961,315.38
01/11/1961,316.1
01/12/1961,317.01
01/01/1962,317.94
01/02/1962,318.56
01/03/1962,319.68
01/04/1962,320.63
01/05/1962,321.01
01/06/1962,320.55
01/07/1962,319.58
01/08/1962,317.4
01/09/1962,316.26
01/10/1962,315.42
01/11/1962,316.69
01/12/1962,317.69
01/01/1963,318.74
01/02/1963,319.08
01/03/1963,319.86
01/04/1963,321.39
01/05/1963,322.25
01/06/1963,321.47
01/07/1963,319.74
01/08/1963,317.77
01/09/1963,316.21
01/10/1963,315.99
01/11/1963,317.12
01/12/1963,318.31
01/01/1964,319.57
01/02/1964,320
01/03/1964,320
01/04/1964,320
01/05/1964,322.25
01/06/1964,321.89
01/07/1964,320.44
01/08/1964,318.7
01/09/1964,316.7
01/10/1964,316.79
01/11/1964,317.79
01/12/1964,318.71
01/01/1965,319.44
01/02/1965,320.44
01/03/1965,320.89
01/04/1965,322.13
01/05/1965,322.16
01/06/1965,321.87
01/07/1965,321.39
01/08/1965,318.81
01/09/1965,317.81
01/10/1965,317.3
01/11/1965,318.87
01/12/1965,319.42
01/01/1966,320.62
01/02/1966,321.59
01/03/1966,322.39
01/04/1966,323.87
01/05/1966,324.01
01/06/1966,323.75
01/07/1966,322.39
01/08/1966,320.37
01/09/1966,318.64
01/10/1966,318.1
01/11/1966,319.79
01/12/1966,321.08
01/01/1967,322.07
01/02/1967,322.5
01/03/1967,323.04
01/04/1967,324.42
01/05/1967,325
01/06/1967,324.09
01/07/1967,322.55
01/08/1967,320.92
01/09/1967,319.31
01/10/1967,319.31
01/11/1967,320.72
01/12/1967,321.96
01/01/1968,322.57
01/02/1968,323.15
01/03/1968,323.89
01/04/1968,325.02
01/05/1968,325.57
01/06/1968,325.36
01/07/1968,324.14
01/08/1968,322.03
01/09/1968,320.41
01/10/1968,320.25
01/11/1968,321.31
01/12/1968,322.84
01/01/1969,324
01/02/1969,324.42
01/03/1969,325.64
01/04/1969,326.66
01/05/1969,327.34
01/06/1969,326.76
01/07/1969,325.88
01/08/1969,323.67
01/09/1969,322.38
01/10/1969,321.78
01/11/1969,322.85
01/12/1969,324.11
01/01/1970,325.03
01/02/1970,325.99
01/03/1970,326.87
01/04/1970,328.13
01/05/1970,328.07
01/06/1970,327.66
01/07/1970,326.35
01/08/1970,324.69
01/09/1970,323.1
01/10/1970,323.16
01/11/1970,323.98
01/12/1970,325.13
01/01/1971,326.17
01/02/1971,326.68
01/03/1971,327.18
01/04/1971,327.78
01/05/1971,328.92
01/06/1971,328.57
01/07/1971,327.34
01/08/1971,325.46
01/09/1971,323.36
01/10/1971,323.57
01/11/1971,324.8
01/12/1971,326.01
01/01/1972,326.77
01/02/1972,327.63
01/03/1972,327.75
01/04/1972,329.72
01/05/1972,330.07
01/06/1972,329.09
01/07/1972,328.05
01/08/1972,326.32
01/09/1972,324.93
01/10/1972,325.06
01/11/1972,326.5
01/12/1972,327.55
01/01/1973,328.54
01/02/1973,329.56
01/03/1973,330.3
01/04/1973,331.5
01/05/1973,332.48
01/06/1973,332.07
01/07/1973,330.87
01/08/1973,329.31
01/09/1973,327.51
01/10/1973,327.18
01/11/1973,328.16
01/12/1973,328.64
01/01/1974,329.35
01/02/1974,330.71
01/03/1974,331.48
01/04/1974,332.65
01/05/1974,333.2
01/06/1974,332.16
01/07/1974,331.07
01/08/1974,329.12
01/09/1974,327.32
01/10/1974,327.28
01/11/1974,328.3
01/12/1974,329.58
01/01/1975,330.73
01/02/1975,331.46
01/03/1975,331.9
01/04/1975,333.17
01/05/1975,333.94
01/06/1975,333.45
01/07/1975,331.98
01/08/1975,329.95
01/09/1975,328.5
01/10/1975,328.35
01/11/1975,329.37
01/12/1975,330
01/01/1976,331.59
01/02/1976,332.75
01/03/1976,333.52
01/04/1976,334.64
01/05/1976,334.77
01/06/1976,334
01/07/1976,333.06
01/08/1976,330.68
01/09/1976,328.95
01/10/1976,328.75
01/11/1976,330.15
01/12/1976,331.62
01/01/1977,332.66
01/02/1977,333.13
01/03/1977,334.95
01/04/1977,336.13
01/05/1977,336.93
01/06/1977,336.17
01/07/1977,334.88
01/08/1977,332.56
01/09/1977,331.29
01/10/1977,331.27
01/11/1977,332.41
01/12/1977,333.6
01/01/1978,334.95
01/02/1978,335.25
01/03/1978,336.66
01/04/1978,337.69
01/05/1978,338.03
01/06/1978,338.01
01/07/1978,336.41
01/08/1978,334.41
01/09/1978,332.37
01/10/1978,332.41
01/11/1978,333.75
01/12/1978,334.9
01/01/1979,336.14
01/02/1979,336.69
01/03/1979,338.27
01/04/1979,338.95
01/05/1979,339.21
01/06/1979,339.26
01/07/1979,337.54
01/08/1979,335.75
01/09/1979,333.98
01/10/1979,334.19
01/11/1979,335.31
01/12/1979,336.81
01/01/1980,337.9
01/02/1980,338.34
01/03/1980,340.01
01/04/1980,340.93
01/05/1980,341.48
01/06/1980,341.33
01/07/1980,339.4
01/08/1980,337.7
01/09/1980,336.19
01/10/1980,336.15
01/11/1980,337.27
01/12/1980,338.32
01/01/1981,339.29
01/02/1981,340.55
01/03/1981,341.61
01/04/1981,342.53
01/05/1981,343.03
01/06/1981,342.54
01/07/1981,340.78
01/08/1981,338.44
01/09/1981,336.95
01/10/1981,337.08
01/11/1981,338.58
01/12/1981,339.88
01/01/1982,340.96
01/02/1982,341.73
01/03/1982,342.81
01/04/1982,343.97
01/05/1982,344.63
01/06/1982,343.79
01/07/1982,342.32
01/08/1982,340.09
01/09/1982,338.28
01/10/1982,338.29
01/11/1982,339.6
01/12/1982,340.9
01/01/1983,341.68
01/02/1983,342.9
01/03/1983,343.33
01/04/1983,345.25
01/05/1983,346.03
01/06/1983,345.63
01/07/1983,344.19
01/08/1983,342.27
01/09/1983,340.35
01/10/1983,340.38
01/11/1983,341.59
01/12/1983,343.05
01/01/1984,344.1
01/02/1984,344.79
01/03/1984,345.52
01/04/1984,345
01/05/1984,347.63
01/06/1984,346.97
01/07/1984,345.53
01/08/1984,343.55
01/09/1984,341.4
01/10/1984,341.67
01/11/1984,343.1
01/12/1984,344.7
01/01/1985,345.21
01/02/1985,346.16
01/03/1985,347.74
01/04/1985,348.34
01/05/1985,349.06
01/06/1985,348.38
01/07/1985,346.71
01/08/1985,345.02
01/09/1985,343.27
01/10/1985,343.13
01/11/1985,344.49
01/12/1985,345.88
01/01/1986,346.56
01/02/1986,347.28
01/03/1986,348.01
01/04/1986,349.77
01/05/1986,350.38
01/06/1986,349.93
01/07/1986,348.16
01/08/1986,346.08
01/09/1986,345.22
01/10/1986,344.51
01/11/1986,345.93
01/12/1986,347.22
01/01/1987,348.52
01/02/1987,348.73
01/03/1987,349.73
01/04/1987,351.31
01/05/1987,352.09
01/06/1987,351.53
01/07/1987,350.11
01/08/1987,348.08
01/09/1987,346.52
01/10/1987,346.59
01/11/1987,347.96
01/12/1987,349.16
01/01/1988,350.39
01/02/1988,351.64
01/03/1988,352.41
01/04/1988,353.69
01/05/1988,354.21
01/06/1988,353.72
01/07/1988,352.69
01/08/1988,350.4
01/09/1988,348.92
01/10/1988,349.13
01/11/1988,350.2
01/12/1988,351.41
01/01/1989,352.91
01/02/1989,353.27
01/03/1989,353.96
01/04/1989,355.64
01/05/1989,355.86
01/06/1989,355.37
01/07/1989,353.99
01/08/1989,351.81
01/09/1989,350.05
01/10/1989,350.25
01/11/1989,351.49
01/12/1989,352.85
01/01/1990,353.8
01/02/1990,355.04
01/03/1990,355.73
01/04/1990,356.32
01/05/1990,357.32
01/06/1990,356.34
01/07/1990,354.84
01/08/1990,353.01
01/09/1990,351.31
01/10/1990,351.62
01/11/1990,353.07
01/12/1990,354.33
01/01/1991,354.84
01/02/1991,355.73
01/03/1991,357.23
01/04/1991,358.66
01/05/1991,359.13
01/06/1991,358.13
01/07/1991,356.19
01/08/1991,353.85
01/09/1991,352.25
01/10/1991,352.35
01/11/1991,353.81
01/12/1991,355.12
01/01/1992,356.25
01/02/1992,357.11
01/03/1992,357.86
01/04/1992,359.09
01/05/1992,359.59
01/06/1992,359.33
01/07/1992,357.01
01/08/1992,354.94
01/09/1992,352.96
01/10/1992,353.32
01/11/1992,354.32
01/12/1992,355.57
01/01/1993,357
01/02/1993,357.31
01/03/1993,358.47
01/04/1993,359.27
01/05/1993,360.19
01/06/1993,359.52
01/07/1993,357.33
01/08/1993,355.64
01/09/1993,354.03
01/10/1993,354.12
01/11/1993,355.41
01/12/1993,356.91
01/01/1994,358.24
01/02/1994,358.92
01/03/1994,359.99
01/04/1994,361.23
01/05/1994,361.65
01/06/1994,360.81
01/07/1994,359.38
01/08/1994,357.46
01/09/1994,355.73
01/10/1994,356.07
01/11/1994,357.53
01/12/1994,358.98
01/01/1995,359.92
01/02/1995,360.86
01/03/1995,361.83
01/04/1995,363.3
01/05/1995,363.69
01/06/1995,363.19
01/07/1995,361.64
01/08/1995,359.12
01/09/1995,358.17
01/10/1995,357.99
01/11/1995,359.45
01/12/1995,360.68
01/01/1996,362.07
01/02/1996,363.24
01/03/1996,364.17
01/04/1996,364.57
01/05/1996,365.13
01/06/1996,364.92
01/07/1996,363.55
01/08/1996,361.38
01/09/1996,359.54
01/10/1996,359.58
01/11/1996,360.89
01/12/1996,362.24
01/01/1997,363.09
01/02/1997,364.03
01/03/1997,364.51
01/04/1997,366.35
01/05/1997,366.64
01/06/1997,365.59
01/07/1997,364.31
01/08/1997,362.25
01/09/1997,360.29
01/10/1997,360.82
01/11/1997,362.49
01/12/1997,364.38
01/01/1998,365.26
01/02/1998,365.98
01/03/1998,367.24
01/04/1998,368.66
01/05/1998,369.42
01/06/1998,368.99
01/07/1998,367.82
01/08/1998,365.95
01/09/1998,364.02
01/10/1998,364.4
01/11/1998,365.52
01/12/1998,367.13
01/01/1999,368.18
01/02/1999,369.07
01/03/1999,369.68
01/04/1999,370.99
01/05/1999,370.96
01/06/1999,370.3
01/07/1999,369.45
01/08/1999,366.9
01/09/1999,364.81
01/10/1999,365.37
01/11/1999,366.72
01/12/1999,368.1
01/01/2000,369.29
01/02/2000,369.54
01/03/2000,370.6
01/04/2000,371.81
01/05/2000,371.58
01/06/2000,371.7
01/07/2000,369.86
01/08/2000,368.13
01/09/2000,367
01/10/2000,367.03
01/11/2000,368.37
01/12/2000,369.67
01/01/2001,370.59
01/02/2001,371.51
01/03/2001,372.43
01/04/2001,373.37
01/05/2001,373.85
01/06/2001,373.21
01/07/2001,371.51
01/08/2001,369.61
01/09/2001,368.18
01/10/2001,368.45
01/11/2001,369.76
01/12/2001,371.24
01/01/2002,372.53
01/02/2002,373.2
01/03/2002,374.12
01/04/2002,375.02
01/05/2002,375.76
01/06/2002,375.52
01/07/2002,374.01
01/08/2002,371.85
01/09/2002,370.75
01/10/2002,370.55
01/11/2002,372.25
01/12/2002,373.79
01/01/2003,374.88
01/02/2003,375.64
01/03/2003,376.45
01/04/2003,377.73
01/05/2003,378.6
01/06/2003,378.28
01/07/2003,376.7
01/08/2003,374.38
01/09/2003,373.17
01/10/2003,373.14
01/11/2003,374.66
01/12/2003,375.99
01/01/2004,377
01/02/2004,377.87
01/03/2004,378.88
01/04/2004,380.35
01/05/2004,380.62
01/06/2004,379.69
01/07/2004,377.47
01/08/2004,376.01
01/09/2004,374.25
01/10/2004,374.46
01/11/2004,376.16
01/12/2004,377.51
01/01/2005,378.46
01/02/2005,379.73
01/03/2005,380.77
01/04/2005,382.29
01/05/2005,382.45
01/06/2005,382.21
01/07/2005,380.74
01/08/2005,378.74
01/09/2005,376.7
01/10/2005,377
01/11/2005,378.35
01/12/2005,380.11
01/01/2006,381.38
01/02/2006,382.19
01/03/2006,382.67
01/04/2006,384.61
01/05/2006,385.03
01/06/2006,384.05
01/07/2006,382.46
01/08/2006,380.41
01/09/2006,378.85
01/10/2006,379.13
01/11/2006,380.15
01/12/2006,381.82
01/01/2007,382.89
01/02/2007,383.9
01/03/2007,384.58
01/04/2007,386.5
01/05/2007,386.56
01/06/2007,386.1
01/07/2007,384.5
01/08/2007,381.99
01/09/2007,380.96
01/10/2007,381.12
01/11/2007,382.45
01/12/2007,383.95
01/01/2008,385.52
01/02/2008,385.82
01/03/2008,386.03
01/04/2008,387.21
01/05/2008,388.54
01/06/2008,387.76
01/07/2008,386.36
01/08/2008,384.09
01/09/2008,383.18
01/10/2008,382.99
01/11/2008,384.19
01/12/2008,385.56
01/01/2009,386.94
01/02/2009,387.48
01/03/2009,388.82
01/04/2009,389.55
01/05/2009,390.14
01/06/2009,389.48
01/07/2009,388.03
01/08/2009,386.11
01/09/2009,384.74
01/10/2009,384.43
01/11/2009,386.02
01/12/2009,387.42
01/01/2010,388.71
01/02/2010,390.2
