Country,Adults,Mean,Median,Ten,Hundred,Hundredthou,Mil,Gini
Afghanistan,19045.00,2139.00,1028.00,96.40,3.60,0.00,0.00,68.90
Albania,2196.00,35529.00,17613.00,38.00,55.50,6.40,0.10,68.60
Algeria,27980.00,10141.00,2552.00,84.60,14.00,1.40,0.10,84.80
Angola,14856.00,3701.00,1162.00,93.50,6.30,0.20,0.00,81.40
Antigua and Barbuda,71.00,19338.00,5962.00,66.20,30.70,2.90,0.10,81.30
Argentina,31171.00,10446.00,3263.00,82.60,16.40,1.00,0.10,80.90
Armenia,2178.00,21802.00,8883.00,55.10,41.60,3.30,0.10,73.10
Aruba,82.00,52221.00,16100.00,44.10,46.30,9.10,0.40,81.30
Australia,19359.00,550110.00,273903.00,9.20,20.10,59.50,11.20,66.20
Austria,7297.00,250125.00,75075.00,14.30,39.40,42.60,3.70,74.20
Azerbaijan,7222.00,15953.00,6732.00,66.10,31.80,2.00,0.10,72.60
Bahamas,282.00,60263.00,7376.00,51.90,39.10,8.30,0.70,89.50
Bahrain,1349.00,98031.00,17640.00,44.40,47.40,7.20,1.00,88.50
Bangladesh,108089.00,9490.00,3680.00,80.50,18.50,1.00,0.00,75.40
Barbados,222.00,70807.00,24653.00,40.20,44.40,14.70,0.70,80.50
Belarus,7343.00,26221.00,13889.00,44.10,52.50,3.40,0.10,67.20
Belgium,9026.00,381114.00,267887.00,11.30,19.90,62.40,6.50,59.90
Belize,252.00,11295.00,3017.00,79.10,19.20,1.70,0.10,83.50
Benin,6025.00,2976.00,924.00,94.30,5.50,0.10,0.00,80.00
Bolivia,7242.00,14098.00,3928.00,75.00,23.30,1.60,0.10,80.80
Bosnia and Herzegovina,2632.00,33122.00,15938.00,39.70,54.40,5.70,0.10,69.20
Botswana,1393.00,19388.00,4357.00,76.30,19.60,4.00,0.10,87.90
Brazil,155248.00,21429.00,3743.00,76.30,20.20,3.40,0.20,89.20
Brunei,314.00,57419.00,9619.00,50.60,43.00,5.60,0.80,89.70
Bulgaria,5535.00,43631.00,21381.00,35.20,57.10,7.50,0.20,70.20
Burkina Faso,9805.00,1618.00,521.00,98.20,1.70,0.10,0.00,79.00
Burundi,5559.00,809.00,360.00,99.30,0.70,0.00,0.00,70.30
Cambodia,10359.00,6270.00,2196.00,90.20,9.10,0.70,0.00,78.30
Cameroon,13109.00,3490.00,989.00,93.90,5.90,0.20,0.00,83.30
Canada,30203.00,409297.00,151248.00,18.70,23.90,49.80,7.60,72.60
Central African Republic,2226.00,980.00,277.00,98.20,1.70,0.00,0.00,84.50
Chad,7314.00,1372.00,503.00,97.70,2.30,0.00,0.00,77.60
Chile,14358.00,54639.00,18820.00,39.30,50.90,9.40,0.50,79.40
China,110504.00,76639.00,28258.00,17.70,66.60,15.10,0.60,70.10
Colombia,36094.00,17079.00,4866.00,73.70,23.70,2.50,0.10,83.50
Comoros,459.00,6062.00,1397.00,90.40,8.90,0.80,0.00,86.10
Democratic Republic of the Congo,41101.00,1438.00,407.00,97.60,2.30,0.10,0.00,83.00
Republic of Congo,2787.00,1841.00,447.00,96.50,3.40,0.10,0.00,85.50
Costa Rica,3746.00,45677.00,15957.00,44.80,45.60,9.30,0.30,79.70
Croatia,3287.00,68272.00,33240.00,27.60,57.80,14.20,0.40,70.20
Cyprus,685.00,149824.00,37381.00,19.90,56.50,21.60,2.00,79.10
Czechia,8520.00,82240.00,22958.00,26.80,57.20,15.20,0.80,77.60
Denmark,4538.00,426494.00,171175.00,15.10,25.10,51.40,8.50,73.90
Djibouti,632.00,3755.00,1169.00,92.90,6.80,0.20,0.00,79.60
Dominica,50.00,35307.00,10885.00,49.40,44.00,6.30,0.20,81.30
Ecuador,11578.00,20539.00,5979.00,63.70,33.10,3.10,0.10,80.10
Egypt,60743.00,23134.00,7426.00,60.60,35.90,3.40,0.10,79.30
El Salvador,4254.00,38523.00,10122.00,49.60,43.20,7.00,0.20,81.20
Equatorial Guinea,798.00,24769.00,6326.00,64.70,29.70,5.40,0.20,86.40
Eritrea,1761.00,3113.00,1199.00,94.70,5.10,0.10,0.00,76.30
Estonia,1040.00,77360.00,38935.00,30.10,53.10,16.10,0.70,73.10
Ethiopia,59133.00,3861.00,1690.00,94.40,5.40,0.20,0.00,72.30
FIJI,569.00,20518.00,6630.00,62.20,33.90,3.80,0.10,78.50
Finland,4387.00,186208.00,80152.00,27.00,31.10,39.60,2.30,74.40
France,50171.00,322074.00,139169.00,13.90,27.20,53.40,5.60,70.20
Gabon,1242.00,18647.00,6353.00,65.80,31.40,2.70,0.10,79.70
Gambia,1151.00,2942.00,732.00,94.30,5.50,0.20,0.00,85.70
Georgia,2946.00,15673.00,4774.00,75.50,22.60,1.80,0.10,81.70
Germany,68056.00,256985.00,60633.00,10.50,47.20,38.30,3.90,78.80
Ghana,17054.00,7604.00,2962.00,85.00,14.30,0.60,0.00,75.30
Greece,8440.00,108300.00,55016.00,22.30,50.40,26.30,1.00,68.20
Grenada,79.00,52618.00,16222.00,44.00,46.40,9.20,0.40,81.30
Guinea,6302.00,3935.00,1221.00,92.90,6.80,0.30,0.00,81.60
Guinea-Bissau,976.00,1896.00,693.00,96.60,3.30,0.10,0.00,78.00
Guyana,503.00,14389.00,4848.00,70.90,27.20,1.80,0.10,76.90
Haiti,6753.00,1358.00,483.00,97.20,2.80,0.00,0.00,79.90
Hong Kong,6315.00,552930.00,202376.00,13.50,21.30,55.20,10.00,73.80
Hungary,7745.00,70668.00,31095.00,18.20,65.90,15.50,0.40,68.00
Iceland,257.00,457795.00,375735.00,22.60,14.90,49.00,13.50,64.60
India,915667.00,15535.00,3457.00,75.10,22.90,1.90,0.10,82.30
Indonesia,183735.00,18534.00,5030.00,66.80,31.00,2.00,0.10,78.20
Iran,58631.00,39093.00,12968.00,45.10,48.20,6.50,0.30,79.20
Iraq,21931.00,16919.00,7428.00,63.70,34.20,2.10,0.10,71.00
Ireland,3659.00,251337.00,91591.00,30.60,22.10,42.50,4.80,80.00
Israel,5719.00,273417.00,92426.00,14.80,37.30,44.30,3.60,74.70
Italy,49766.00,231323.00,112138.00,15.50,31.50,50.20,2.80,67.20
Jamaica,2061.00,21712.00,6712.00,62.90,33.50,3.50,0.10,82.20
Japan,104763.00,245238.00,119999.00,11.10,34.80,50.90,3.20,64.70
Jordan,5964.00,30814.00,11280.00,47.10,47.50,5.20,0.20,76.70
Kazakhstan,12300.00,42559.00,18321.00,46.10,48.00,5.70,0.30,77.60
Kenya,28403.00,12987.00,3863.00,78.20,20.00,1.80,0.10,82.60
Korea,42707.00,237644.00,93141.00,14.50,35.50,47.00,3.00,68.20
Kuwait,3183.00,171348.00,39392.00,41.50,28.40,27.00,3.20,86.20
